db,spec_code,species,length
fb,621,ceratoscopelus maderensis,7.599999904632568
fb,623,lampanyctus pusillus,4.300000190734863
fb,624,coilia coomansi,12.300000190734863
fb,625,coilia dussumieri,20.25
fb,626,coilia grayii,28.5
fb,627,coilia lindmani,20
fb,628,coilia macrognathos,26
fb,629,coilia mystus,20.5
fb,630,coilia nasus,31.65
fb,631,coilia neglecta,17
fb,632,coilia ramcarati,24.1
fb,633,coilia rebentischii,15.199999809265137
fb,634,coilia reynaldi,15
fb,635,chlamydoselachus anguineus,198
fb,636,heptranchias perlo,107.65
fb,637,hexanchus griseus,482
fb,638,hexanchus nakamurai,180
fb,640,lepadogaster candolii,7.5
fb,641,echinorhinus brucus,281
fb,642,echinorhinus cookei,400
fb,643,lepadogaster lepadogaster,6.549999952316284
fb,644,aculeola nigra,60
fb,645,lepidopus caudatus,106
fb,646,aphanopus carbo,123.5
fb,648,centrophorus granulosus,126.25
fb,649,centrophorus harrissoni,99
fb,650,centrophorus lusitanicus,130
fb,651,centrophorus moluccensis,95
fb,653,centrophorus squamosus,124.5
fb,654,centrophorus tessellatus,89
fb,655,centrophorus uyato,94.65
fb,656,centroscyllium fabricii,95.5
fb,657,centroscyllium granulatum,28
fb,658,centroscyllium kamoharai,60
fb,659,centroscyllium ornatum,30
fb,660,centroscyllium nigrum,51
fb,661,centroscyllium ritteri,43
fb,662,centroscymnus coelolepis,105.0999984741211
fb,663,centroscymnus crepidater,84.20000076293945
fb,665,centroscymnus macracanthus,68
fb,666,centroscymnus owstonii,97
fb,667,centroscymnus plunketi,131
fb,668,cirrhigaleus barbifer,126
fb,669,dalatias licha,181
fb,670,deania calcea,99
fb,671,deania hystricosa,96.5
fb,672,deania profundorum,94.5
fb,673,deania quadrispinosa,115
fb,675,etmopterus brachyurus,50
fb,676,etmopterus bullisi,42.6
fb,677,etmopterus decacuspidatus,29
fb,678,etmopterus gracilispinis,35
fb,679,etmopterus granulosus,75.5999984741211
fb,680,etmopterus hillianus,50
fb,681,etmopterus lucifer,47
fb,682,etmopterus polli,30
fb,683,etmopterus princeps,67.25
fb,684,etmopterus pusillus,46
fb,685,etmopterus schultzi,27
fb,686,etmopterus sentosus,27
fb,687,etmopterus spinax,38.3
fb,688,etmopterus unicolor,64
fb,689,etmopterus villosus,46
fb,690,etmopterus virens,23
fb,691,euprotomicroides zantedeschia,42
fb,692,lichia amia,106.5
fb,693,euprotomicrus bispinatus,28.75
fb,694,heteroscymnoides marleyi,29
fb,695,limanda limanda,26.5
fb,696,isistius brasiliensis,46
fb,697,isistius plutodus,42
fb,698,scymnodalatias sherwoodi,80.30000305175781
fb,700,scymnodon ringens,110
fb,701,zameus squamulosus,84
fb,704,somniosus rostratus,143
