category,sub_category,spp_gp,trait_val,sheet
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Loligo,na,cephalopods
foraging range,"if one/few, size",Loligo,na,cephalopods
foraging range,sub-population dependence on particular sites,Loligo,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Afrololigo mercatoris,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Afrololigo mercatoris,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Afrololigo mercatoris,na,cephalopods
foraging range,"if one/few, size",Afrololigo mercatoris,na,cephalopods
foraging range,sub-population dependence on particular sites,Afrololigo mercatoris,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Alloteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Alloteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Alloteuthis,na,cephalopods
foraging range,"if one/few, size",Alloteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Alloteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Doryteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Doryteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Doryteuthis,na,cephalopods
foraging range,"if one/few, size",Doryteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Doryteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Heterololigo bleekeri,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Heterololigo bleekeri,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Heterololigo bleekeri,na,cephalopods
foraging range,"if one/few, size",Heterololigo bleekeri,na,cephalopods
foraging range,sub-population dependence on particular sites,Heterololigo bleekeri,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Loliolus (Loliolus),na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Loliolus (Loliolus),na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Loliolus (Loliolus),na,cephalopods
foraging range,"if one/few, size",Loliolus (Loliolus),na,cephalopods
foraging range,sub-population dependence on particular sites,Loliolus (Loliolus),na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Loliolus Nipponololigo,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Loliolus Nipponololigo,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Loliolus Nipponololigo,na,cephalopods
foraging range,"if one/few, size",Loliolus Nipponololigo,na,cephalopods
foraging range,sub-population dependence on particular sites,Loliolus Nipponololigo,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Lolliguncula,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Lolliguncula,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Lolliguncula,na,cephalopods
foraging range,"if one/few, size",Lolliguncula,na,cephalopods
foraging range,sub-population dependence on particular sites,Lolliguncula,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pickfordiateuthis pulchella,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pickfordiateuthis pulchella,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pickfordiateuthis pulchella,na,cephalopods
foraging range,"if one/few, size",Pickfordiateuthis pulchella,na,cephalopods
foraging range,sub-population dependence on particular sites,Pickfordiateuthis pulchella,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pickfordiateuthis (other species),na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pickfordiateuthis (other species),na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pickfordiateuthis (other species),na,cephalopods
foraging range,"if one/few, size",Pickfordiateuthis (other species),na,cephalopods
foraging range,sub-population dependence on particular sites,Pickfordiateuthis (other species),na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sepioteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Sepioteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Sepioteuthis,na,cephalopods
foraging range,"if one/few, size",Sepioteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Sepioteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Uroteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Uroteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Uroteuthis,na,cephalopods
foraging range,"if one/few, size",Uroteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Uroteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Aestuariolus noctiluca,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Aestuariolus noctiluca,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Aestuariolus noctiluca,na,cephalopods
foraging range,"if one/few, size",Aestuariolus noctiluca,na,cephalopods
foraging range,sub-population dependence on particular sites,Aestuariolus noctiluca,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Metasepia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Metasepia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Metasepia,na,cephalopods
foraging range,"if one/few, size",Metasepia,na,cephalopods
foraging range,sub-population dependence on particular sites,Metasepia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sepia latimanus & Sepia bandensis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Sepia latimanus & Sepia bandensis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Sepia latimanus & Sepia bandensis,na,cephalopods
foraging range,"if one/few, size",Sepia latimanus & Sepia bandensis,na,cephalopods
foraging range,sub-population dependence on particular sites,Sepia latimanus & Sepia bandensis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sepia apama,na,cephalopods
foraging range,"if one/few, size",Sepia apama,na,cephalopods
foraging range,sub-population dependence on particular sites,Sepia apama,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sepia (others),na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Sepia (others),na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Sepia (others),na,cephalopods
foraging range,"if one/few, size",Sepia (others),na,cephalopods
foraging range,sub-population dependence on particular sites,Sepia (others),na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sepiella,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Sepiella,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Sepiella,na,cephalopods
foraging range,"if one/few, size",Sepiella,na,cephalopods
foraging range,sub-population dependence on particular sites,Sepiella,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Idiosepius,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Idiosepius,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Idiosepius,na,cephalopods
foraging range,"if one/few, size",Idiosepius,na,cephalopods
foraging range,sub-population dependence on particular sites,Idiosepius,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Spirula spirula,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Spirula spirula,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Spirula spirula,na,cephalopods
foraging range,"if one/few, size",Spirula spirula,na,cephalopods
foraging range,sub-population dependence on particular sites,Spirula spirula,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sepiadariidae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Sepiadariidae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Sepiadariidae,na,cephalopods
foraging range,"if one/few, size",Sepiadariidae,na,cephalopods
foraging range,sub-population dependence on particular sites,Sepiadariidae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sepiola,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Sepiola,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Sepiola,na,cephalopods
foraging range,"if one/few, size",Sepiola,na,cephalopods
foraging range,sub-population dependence on particular sites,Sepiola,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Euprymna,na,cephalopods
