am_sid,name,rank
Fis-26619,Acantholabrus palloni,species
Fis-57510,Metazoa,kingdom
Fis-57510,Chordata,phylum
Fis-57510,Actinopteri,class
Fis-57510,Perciformes,order
Fis-57510,Liparidae,family
Fis-57510,Acantholiparis,genus
Fis-57510,Acantholiparis opercularis,species
ITS-97921,Metazoa,kingdom
ITS-97921,Arthropoda,phylum
ITS-97921,Malacostraca,class
ITS-97921,Decapoda,order
ITS-97921,Lithodidae,family
ITS-97921,Acantholithodes,genus
ITS-97921,Acantholithodes hispidus,species
Fis-24399,Metazoa,kingdom
Fis-24399,Chordata,phylum
Fis-24399,Actinopteri,class
Fis-24399,Perciformes,order
Fis-24399,Stichaeidae,family
Fis-24399,Acantholumpenus,genus
Fis-24399,Acantholumpenus mackayi,species
W-Iso-174856,Metazoa,kingdom
W-Iso-174856,Arthropoda,phylum
W-Iso-174856,Malacostraca,class
W-Iso-174856,Isopoda,order
W-Iso-174856,Desmosomatidae,family
W-Iso-174856,Acanthomunna,genus
W-Iso-174856,Acanthomunna spinipes,species
ITS-89887,Metazoa,kingdom
ITS-89887,Arthropoda,phylum
ITS-89887,Malacostraca,class
ITS-89887,Mysida,order
ITS-89887,Mysidae,family
ITS-89887,Acanthomysis,genus
ITS-89887,Acanthomysis longicornis,species
SLB-5433,Metazoa,kingdom
SLB-5433,Arthropoda,phylum
SLB-5433,Malacostraca,class
SLB-5433,Amphipoda,order
SLB-5433,Acanthonotozomellidae,family
SLB-5433,Acanthonotozomoides,genus
SLB-5433,Acanthonotozomoides oatesi,species
Fis-33095,Metazoa,kingdom
Fis-33095,Chordata,phylum
Fis-33095,Actinopteri,class
Fis-33095,Ophidiiformes,order
Fis-33095,Ophidiidae,family
Fis-33095,Acanthonus,genus
Fis-33095,Acanthonus armatus,species
Fis-169282,Metazoa,kingdom
Fis-169282,Chordata,phylum
Fis-169282,Actinopteri,class
Fis-169282,Spariformes,order
Fis-169282,Sparidae,family
Fis-169282,Acanthopagrus,genus
Fis-169282,Acanthopagrus arabicus,species
Fis-26855,Metazoa,kingdom
